AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2018,60,4,COLEGIO ALEMAN DE ARICA,,65144981,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,49203409","-70,2806874",0,10,110,310,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,65,5,J.  I.  SOLDADITO DE PLOMO,,,9,15,151,15101,ARICA,151,ARICA,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,2,9,,SIN INFORMACION,SIN INFORMACION
2018,66,3,JARDIN INFANTIL PLUTO,,65144468,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,479057","-70,3034",0,10,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,67,1,ABRAHAM LINCOLN SCHOOL,,65143272,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,4812282","-70,3187928",0,10,110,310,0,0,0,0,0,0,1,1,2,,GRATUITO,$25.001 A $50.000
2018,69,8,JUNIOR COLLEGE,9437148,,0,15,151,15101,ARICA,151,ARICA,4,3,0,"-18,463913","-70,29144",0,10,110,310,0,0,0,0,0,0,1,1,1,,MAS DE $100.000,MAS DE $100.000
2018,70,1,ESCUELA VALLE DE ESQUINA,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-18,93621826","-69,530159",0,110,0,0,0,0,0,0,0,0,1,1,7,MULTICULTURAL,GRATUITO,GRATUITO
2018,72,8,LICEO VALLE DE CODPA,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-18,832901","-69,74458313",0,110,710,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,73,6,ESCUELA VALLE DE COBIJA,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-18,73989105","-69,58323669",0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,74,4,ESCUELA VALLE DE CAMARONES,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-19,00991631","-69,86013794",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,75,2,ESCUELA VALLE DE GUANACAGUA,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-18,82276535","-69,71333313",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,76,0,ESCUELA VALLE DE CUYA,,69251000,1,15,151,15102,CAMARONES,151,ARICA,2,1,1,"-19,16016006","-70,17948914",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,78,7,LICEO GRANADEROS,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,19582367","-69,5619278",1,10,110,363,710,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,79,5,ESCUELA EL MARQUEZ,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,58071518","-69,49375916",0,110,0,0,0,0,0,0,0,0,1,1,7,PLURALISTA,GRATUITO,GRATUITO
2018,81,7,ESCUELA PAYACHATAS,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,05440331","-69,20101166",0,110,0,0,0,0,0,0,0,0,1,1,7,PLURALISTA,GRATUITO,GRATUITO
2018,82,5,ESCUELA SAN FRANCISCO DE ASIS,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,26880074","-69,59646606",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
